,Unnamed: 0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight
41,4758,718580421223706624,"RT @AlisonSpalding2: Let us see, on Sat.,a record breaking turn out here in the #Wyoming caucus

Bernie Sanders  

 #Wyoming #WYPrimary htt…",143,0,RoundTeam,2016-04-08 23:24:57,3525116836,WyomingLovers,Wyoming Lover,2015-09-02 16:39:18,"#Wyoming Lover. For all things in and about Wyoming USA. Eat, drink, chat, tweet and date in Wyoming. #FreeDatingInWyoming",862,755,"Wyoming, USA",Pacific Time (US & Canada),3,0.063
42,6070,718578123952955393,RT @mnkk: Papal official denies report Sanders invited himself to Vatican https://t.co/3BAarBIsXn via @Reuters,8,0,Twitter for Android,2016-04-08 23:15:49,80604884,BrianDCreek,Brian Creek,2009-10-07 15:37:36,"Environmentalist/Trout Bum/Writer/Native Landscape Advocate/Greenways,Park & Recreation Consultant/Servant Leader/Grill Meister",2218,2411,Northeast Wyoming,Quito,0,1.0
43,6091,718578096362758144,"RT @DonaldMealor: Senior papal official, Monsignor Marcelo Sanchez Sorondo, said it was his idea to invite Sanders.
https://t.co/A6CPd9a8Ri",24,0,Twitter for Android,2016-04-08 23:15:43,80604884,BrianDCreek,Brian Creek,2009-10-07 15:37:36,"Environmentalist/Trout Bum/Writer/Native Landscape Advocate/Greenways,Park & Recreation Consultant/Servant Leader/Grill Meister",2218,2411,Northeast Wyoming,Quito,0,1.0
44,12299,718568044247683072,"Under .@SenSanders' healthcare plan, patients and taxpayers #feelthebern... #Wyleg #Wyoming #socialismisntcool..  https://t.co/b0QBGS6BnP",1,0,Twitter Web Client,2016-04-08 22:35:46,340520628,WyLiberty,Wyoming Liberty Grp,2011-07-22 20:48:04,Wyoming Liberty Group is a public policy research institute helping citizens understand WY issues in light of constitutional principles and gov accountability.,422,91,"Cheyenne, Wyoming",Mountain Time (US & Canada),4,0.033
45,16086,718562903885029376,"RT @michaelallenmar: #wyomingcaucus #wyoming

SANDERS to Discuss Inequality at the Vatican-
WHILE CLINTON Hosts a $2,700 Plate Fundraiser
h…",31,0,RoundTeam,2016-04-08 22:15:21,3525116836,WyomingLovers,Wyoming Lover,2015-09-02 16:39:18,"#Wyoming Lover. For all things in and about Wyoming USA. Eat, drink, chat, tweet and date in Wyoming. #FreeDatingInWyoming",862,755,"Wyoming, USA",Pacific Time (US & Canada),2,0.127
46,28378,718546418001190912,Bernie Sanders Statement on Panama Papers https://t.co/AUVrXCvH4y,0,0,IFTTT,2016-04-08 21:09:50,3178458528,VoteOrganic,Vote Organic,2015-04-28 19:49:49,Organic News,6420,6364,"Wyoming, USA",,0,1.0
47,29179,718545302970458112,"One candidate visited the state (Sanders), the other has nearly all the state party endorsements (Clinton).  https://t.co/LajjI3hSGt",0,0,Twitter for iPhone,2016-04-08 21:05:24,369235787,AaronGroffTV,Aaron Groff,2011-09-07 00:47:38,"Morning/Noon Anchor, News/Sports/#Election2016 for KTWO, ABC Wyoming. From Miami Beach, FL. @merrillcollege grad",406,1580,"Casper, Wyoming",Mountain Time (US & Canada),0,1.0
48,1608,718949376811335680,Bernie Sanders Wins Wyoming Democratic Caucuses Gains 7 of 14 available delegates...https://t.co/OdoK2OGciD,0,0,Twitter Web Client,2016-04-09 23:51:03,15880390,mkaee,Marian,2008-08-17 07:24:42,Liberal Democratic woman in a very red state. Retweets do not constitute an endorsement.,4019,4004,"Wyoming, USA",Mountain Time (US & Canada),0,1.0
49,2749,718947849828831233,"@LuciHoneychurch If you voted for Ron why are supporting Sanders, economic policies are opposite for those two.",0,1,Twitter for Android,2016-04-09 23:44:59,1889364728,20Gnt48,Nolan Thomas,2013-09-21 08:06:11,Economics Major/Law School hopeful at The University of Wyoming,265,219,"Laramie, Wyoming",,0,1.0
50,4733,718944874142109697,"When the Tea Party set out to clean up the Republican side of the house, Sanders' supporters sat back and laughed instead of joining us.",1,1,Twitter for Android,2016-04-09 23:33:10,241621002,Tek_Roo,Alt Delegate Roo,2011-01-22 18:33:31,Always wondered what a delegate actually was. Still TBD! Stay tooned! RETWEETS DON'T MEAN I HAVE A POUCH! #WhatILearnedToday #OilfieldCritter #CruzCrew,1097,983,"Wyoming, USA",Mountain Time (US & Canada),0,1.0
51,6077,718942904299819008,@finneyk This is what Sanders think good healthcare is. Please turn into a commercial. https://t.co/XlTwWeh4SJ,0,0,Twitter Web Client,2016-04-09 23:25:20,16164138,kaloshilo,kaloshilo,2008-09-07 02:14:58,"Completed the doctoral program December 26, 2012.",23,100,Cheyenne Wyoming,Mountain Time (US & Canada),0,1.0
52,6125,718942841515466752,"U.S. News &amp; World Report The Latest: Sanders wins Wyoming, but delegates evenly split U.S. News… https://t.co/MzCRuJ102b",0,0,Google,2016-04-09 23:25:05,375510007,Wyoming_Guide,Wyoming_Guide,2011-09-18 07:56:32,It is information on Wyoming.,1320,1220,Wyoming,Hawaii,0,1.0
53,8462,718939800527462400,@NicoleJeanLTL @politicswthsoul Here are updated results https://t.co/M7yBT5EER5,0,1,Twitter for iPhone,2016-04-09 23:13:00,522440546,class_ceiling,Class Ceiling,2012-03-12 17:44:35,Crazy like a fox. #BernieOrBust,1064,1316,Wyoming,,0,1.0
54,9917,718938041134395392,RT @JacksonHoleNews: Most Wyoming Dems feel the Bern. https://t.co/ioEVrzo85f,2,0,Twitter for iPad,2016-04-09 23:06:00,790070264,LikusPJ,Peter J Likus,2012-08-29 20:12:51,Gay Liberal Agnostic Democrat Skier Hiker Animal Lover Champion of the Underdogs,254,188,"Jackson, Wyoming and Dallas",,0,1.0
55,9939,718938008930521088,"RT @JacksonHoleNews: Sanders wins Teton County — and Wyoming.: Teton County, like the rest of Wyoming, favored Democratic president... http…",2,0,Twitter for iPad,2016-04-09 23:05:53,790070264,LikusPJ,Peter J Likus,2012-08-29 20:12:51,Gay Liberal Agnostic Democrat Skier Hiker Animal Lover Champion of the Underdogs,254,188,"Jackson, Wyoming and Dallas",,0,1.0
